Ca Phe Sua Da,coffee,https://minio.thecoffeehouse.com/image/admin/1639377738_ca-phe-sua-da_400x400.jpg,S 39000,M 45000,L 49000
Ca Phe Sua Nong,coffee,https://minio.thecoffeehouse.com/image/admin/1639377770_cfsua-nong_400x400.jpg,S 35000,M 41000,L 45000
Bac Siu,coffee,https://minio.thecoffeehouse.com/image/admin/1639377904_bac-siu_400x400.jpg,S 29000,M 35000,L 39000
Bac Siu Nong,coffee,https://minio.thecoffeehouse.com/image/admin/1639377926_bacsiunong_400x400.jpg,S 35000,M 41000,L 45000
Ca Phe Den Da,coffee,https://minio.thecoffeehouse.com/image/admin/1639377798_ca-phe-den-da_400x400.jpg,S 35000,M 41000,L 45000
Ca Phe Den Nong,coffee,https://minio.thecoffeehouse.com/image/admin/1639377816_ca-phe-den-nong_400x400.jpg,S 35000,M 41000,L 45000
Caramel Macchiato Da,coffee,https://minio.thecoffeehouse.com/image/admin/caramel-macchiato_143623_400x400.jpg,S 49000,M 55000,L 59000
Caramel Macchiato Nong,coffee,https://minio.thecoffeehouse.com/image/admin/caramelmacchiatonong_168039_400x400.jpg,S 49000,M 55000,L 59000
Latte Da,coffee,https://minio.thecoffeehouse.com/image/admin/latte-da_438410_400x400.jpg,S 49000,M 55000,L 59000
Latte Nong,coffee,https://minio.thecoffeehouse.com/image/admin/latte_851143_400x400.jpg,S 49000,M 55000,L 59000
Americano Da,coffee,https://minio.thecoffeehouse.com/image/admin/classic-cold-brew_791256_400x400.jpg,S 40000,M 46000,L 50000
Ameriacano Nong,coffee,https://minio.thecoffeehouse.com/image/admin/1636647328_arme-nong_400x400.jpg,S 40000,M 46000,L 50000
Cappuccino Da,coffee,https://minio.thecoffeehouse.com/image/admin/Capu-da_487470_400x400.jpg,S 49000,M 55000,L 59000
Cappuccino Nong,coffee,https://minio.thecoffeehouse.com/image/admin/cappuccino_621532_400x400.jpg,S 49000,M 55000,L 59000
Espresso Da,coffee,https://minio.thecoffeehouse.com/image/admin/cfdenda-espressoDa_185438_400x400.jpg,S 45000,M 51000,L 55000
Espresso Nong,coffee,https://minio.thecoffeehouse.com/image/admin/espressoNong_612688_400x400.jpg,S 40000,M 46000,L 50000
Mocha Da,coffee,https://minio.thecoffeehouse.com/image/admin/mocha-da_538820_400x400.jpg,S 49000,M 55000,L 59000
Mocha Nong,coffee,https://minio.thecoffeehouse.com/image/admin/mochanong_433980_400x400.jpg,S 49000,M 55000,L 59000
Cold Brew Truyen Thong,coffee,https://minio.thecoffeehouse.com/image/admin/classic-cold-brew_239501_400x400.jpg,S 45000,M 51000,L 55000
Cold Brew Sua Tuoi,coffee,https://minio.thecoffeehouse.com/image/admin/cold-brew-sua-tuoi_379576_400x400.jpg,S 45000,M 51000,L 55000
Tra Long Nhan Hat Sen,tea-milktea,https://minio.thecoffeehouse.com/image/admin/1649378747_tra-sen-nhan_400x400.jpg,S 51000,M 57000,L 61000
Tra Dao Cam Sa - Da,tea-milktea,https://minio.thecoffeehouse.com/image/admin/tra-dao-cam-xa_668678_400x400.jpg,S 45000,M 51000,L 55000
Tra Dao Cam Sa - Nong,tea-milktea,https://minio.thecoffeehouse.com/image/admin/tdcs-nong_288997_400x400.jpg,S 51000,M 57000,L 61000
Tra Hat Sen - Da,tea-milktea,https://minio.thecoffeehouse.com/image/admin/tra-sen_905594_400x400.jpg,S 51000,M 57000,L 61000
Tra Hat Sen - Nong,tea-milktea,https://minio.thecoffeehouse.com/image/admin/tra-sen-nong_025153_400x400.jpg,S 51000,M 57000,L 61000
Tra Den Macchiato,tea-milktea,https://minio.thecoffeehouse.com/image/admin/tra-den-matchiato_430281_400x400.jpg,S 49000,M 55000,L 59000
Hong Tra Sua Tran Chau,tea-milktea,https://minio.thecoffeehouse.com/image/admin/hong-tra-sua-tran-chau_326977_400x400.jpg,S 54000,M 60000,L 64000
Hong Tra Sua Nong,tea-milktea,https://minio.thecoffeehouse.com/image/admin/hong-tra-sua-nong_941687_400x400.jpg,S 54000,M 60000,L 64000
Tra Sua OoLong Nuong Tran Chau,tea-milktea,https://minio.thecoffeehouse.com/image/admin/1647510904_tra-sua-oolong-nuong-tran-chau-da_400x400.jpeg,S 54000,M 60000,L 64000
Tra Sua OoLong Nuong (Nong),tea-milktea,https://minio.thecoffeehouse.com/image/admin/oolong-nuong-nong_948581_400x400.jpg,S 54000,M 60000,L 64000
Tra Sua Mac Ca Tran Chau,tea-milktea,https://minio.thecoffeehouse.com/image/admin/tra-sua-mac-ca_377522_400x400.jpg,S 49000,M 55000,L 59000
Hong Tra Latte Macchiato,tea-milktea,https://minio.thecoffeehouse.com/image/admin/hong-tra-latte_618293_400x400.jpg,S 54000,M 60000,L 64000
Tra Oolong Vai,tea-milktea,https://minio.thecoffeehouse.com/image/menufrontend/5c77a841696fb33ac242b9f3_travai.png,S 45000,M 51000,L 55000
Hi-Tea Dau Tay Man Muoi Aloe Vera,hi-tea,https://minio.thecoffeehouse.com/image/admin/1653274559_dau-tay-man-muoi-aloe-vera_400x400.jpg,S 49000,M 55000,L 59000
Hi-Tea Xoai Aloe Vera,hi-tea,https://minio.thecoffeehouse.com/image/admin/1653275101_xoai-aloe-vera_400x400.jpg,S 45000,M 51000,L 55000
Hi-Tea Dao,hi-tea,https://minio.thecoffeehouse.com/image/admin/1653291185_hi-tea-dao_400x400.jpg,S 45000,M 51000,L 55000
Hi-Tea Tuyet Man Muoi Aloe Vera,hi-tea,https://minio.thecoffeehouse.com/image/admin/1653275302_sb-man-muoi-aloevra_400x400.jpg,S 58000,M 64000,L 68000
Hi-Tea Da Tuyet Xoai Dao,hi-tea,https://minio.thecoffeehouse.com/image/admin/1653291164_da-tuyet-dao_400x400.jpg,S 58000,M 64000,L 68000
